,author,language,length,link,quote,tags
0,James Dashner,en,141,https://theysaidso.com/quote/james-dashner-i-felt-her-absence-it-was-like-waking-up-one-day-with-no-teeth-in,I felt her absence. It was like waking up one day with no teeth in your mouth. You wouldn't need to run to the mirror to know they were gone,"{absence, alone, breakup, broken, day, felt, forgive, gone, her, i, i-love-you, in, it, know, like, loneliness, lonely, mirror, miss, mouth, need, no, one, run, sad, separated, sorry, teeth, the, they, to, up, waking, want, was, were, with, wouldn-t, you, your}"
1,William T. Vollmann,en,253,https://theysaidso.com/quote/william-t-vollmann-but-as-i-have-said-the-bugs-had-no-interest-in-getting-usand,"But, as I have said, the bugs had no interest in getting usand no great curiosity or enthusiasm about us as such; from the cowardly cockroaches to the blind stolid ants they wanted only to be left alone to eat and breed and eat and breed, just like us.","{human-nature, perspective}"
2,Colson Whitehead,en,277,https://theysaidso.com/quote/colson-whitehead-i-cant-blame-modern-technology-for-my-predilection-for-distract,"I can't blame modern technology for my predilection for distraction, not after all the hours I've spent watching lost balloons disappear into the clouds. I did it before the Internet, and I'll do it after the apocalypse, assuming we still have helium and weak-gripped children.","{distraction, internet, technology, writing}"
3,Alice Waters,en,126,https://theysaidso.com/quote/alice-waters-im-always-going-back-to-elizabeth-david-i-continue-to-be-a-fan-i-ca,I'm always going back to Elizabeth David. I continue to be a fan. I can read and reread and find something important in there.,{}
4,Jonathan Raban,en,184,https://theysaidso.com/quote/jonathan-raban-books-admitted-me-to-their-world-open-handedly-as-people-for-thei,"?Books admitted me to their world open-handedly, as people for their most part, did not. The life I lived in books was one of ease and freedom, worldly wisdom, glitter, dash and style.",{books}
5,Jane Smiley,en,252,https://theysaidso.com/quote/jane-smiley-i-had-been-with-my-father-so-constantly-for-so-long-that-i-knew-less,..I had been with my father so constantly for so long that I knew less and less about him with every passing year. Every meaningful image was jumbled together with the countless moments of our daily life defeating my efforts to gain some perspective.,"{memory, perspective}"
6,Rebecca Solnit,en,984,https://theysaidso.com/quote/rebecca-solnit-one-project-of-teddy-cruzs-is-titled-living-rooms-at-the-border-i,"One {project of Teddy Cruz's} is titled Living Rooms at the Border. It takes a piece of land with an unused church zoned for three units and carefully arrays on it twelve affordable housing units, a community center (the converted church), offices for Casa in the church's attic, and a garden that can accommodate street markets and kiosks. 'In a place where current regulation allows only one use,' {Cruz} crows, ' we propose five different uses that support each other. This suggests a model of social sustainability for San Diego, one that conveys density not as bulk but as social choreography.' For both architect and patron, it's an exciting opportunity to prove that breaking the zoning codes can be for the best. Another one of Cruz's core beliefs is that if architects are going to achieve anything of social distinction, they will have to become developers' collaborators or developers themselves, rather than hirelings brought in after a project's parameters are laid out.","{architecture, planning}"
7,J.B. Cheaney,en,208,https://theysaidso.com/quote/jb-cheaney-some-part-of-me-knew-that-i-could-play-this-part-well-or-better-than,"Some part of me knew that I could play this part well, or better than well. But I was almost afraid to play it. The line between stage and life was so fragile here that I felt a risk of losing myself somehow.",{art}
8,Hilary Thayer Hamann,en,435,https://theysaidso.com/quote/hilary-thayer-hamann-and-loneliness-i-should-say-something-of-loneliness-the-pan,"And loneliness. I should say something of loneliness. The panic, the sweeping hysteria that comes not when you are without others, but when you are without yourself, adrift. I should describe the filthy province of mind, the blighted district inside, the place so crowded you cannot raise the lids of your eyes. Your shoulders are drawn and your head has fallen and your chest is bruised by the constant assault of your heart. (p. 37)","{hamann, loneliness}"
9,Natsuo Kirino,en,66,https://theysaidso.com/quote/natsuo-kirino-if-people-cant-stand-being-alone-they-have-no-choice-but-to-die,"If people can't stand being alone, they have no choice but to die","{life, sad, thought-provoking}"
10,Ariana Franklin,en,185,https://theysaidso.com/quote/ariana-franklin-a-daughter-rowley-scooped-up-the-child-and-held-her-high-the-bab,"A daughter,' Rowley scooped up the child and held her high. The baby blinked from sleep and crowed with him. 'Any fool can have a son,' he said. 'It takes a man to conceive a daughter.",{parenting}
11,Leslie Marmon Silko,en,170,https://theysaidso.com/quote/leslie-marmon-silko-i-will-tell-you-something-about-stories-they-arent-just-ente,"I will tell you something about stories... They aren't just entertainment. Don't be fooled. They are all we have, you see, all we have to fight off illness and death.",{storytelling}
12,Michelle Obama,en,143,https://theysaidso.com/quote/michelle-obama-we-need-to-fix-our-souls-our-souls-are-broken-in-this-nation-we-h,We need to fix our souls. Our souls are broken in this nation. We have lost our way. And it begins with inspiration. It begins with leadership.,"{inspiration, leadership, management, nations}"
13,Gennifer Choldenko,en,180,https://theysaidso.com/quote/gennifer-choldenko-nobody-knows-how-things-will-turn-out-thats-why-they-go-ahead,"Nobody knows how things will turn out, that's why they go ahead and play the game.. You give it your all and sometimes amazing things happen, but it's hardly ever what you expect.","{live-in-the-moment, optimism, possibility, uncertainty}"
14,J. M. Coetzee,en,276,https://theysaidso.com/quote/j-m-coetzee-why-does-love-even-such-love-as-he-claims-to-practise-need-the-spect,"Why does love, even such love as he claims to practise, need the spectacle of beauty to bring it to life? What, in the abstract, do shapely legs have to do with love, or for that matter with desire? Or is that just the nature of nature, about which one does not ask questions?","{beauty, life, nature, tso-love}"
15,Naomi Klein,en,594,https://theysaidso.com/quote/naomi-klein-it-is-eminently-possible-to-have-a-market-based-economy-that-require,"It is eminently possible to have a market-based economy that requires no such brutality and demands no such ideological purity. A free market in consumer products can coexist with free public health care, with public schools, with a large segment of the economy -- like a national oil company -- held in state hands. It's equally possible to require corporations to pay decent wages, to respect the right of workers to form unions, and for governments to tax and redistribute wealth so that the sharp inequalities that mark the corporatist state are reduced. Markets need not be fundamentalist.","{corporatist, government}"
16,Julia Cameron,en,56,https://theysaidso.com/quote/julia-cameron-the-capacity-for-delight-is-the-gift-of-paying-attention,The capacity for delight is the gift of paying attention,{gifts}
17,Anita Shreve,en,53,https://theysaidso.com/quote/anita-shreve-to-leave-after-all-was-not-the-same-as-being-left,"To leave, after all, was not the same as being left.","{anita-shreve, leaving, lesson, life, the-pilot-s-wife}"
18,John Green,en,761,https://theysaidso.com/quote/john-green-we-are-like-a-bunch-of-dogs-squirting-on-fire-hydrants-we-poison-the,"We are like a bunch of dogs squirting on fire hydrants. We poison the groundwater with our toxic piss, marking everything MINE in a ridiculous attempt to survive our deaths. I can't stop pissing on fire hydrants..I am an animal like any other. Hazel is different. She walks lightly, old man. She walks lightly upon the earth. She knows the truth: We're as likely to hurt the universe as we are to help it, and we're not likely to do either. People will say it's sad that she leaves a lesser scar, that fewer remember her, that she was loved deeply but not widely. But it's not sad. It's triumphant. It's heroic. Isn't that the real heroism?The real heroes anyway aren't the people doing things; the real heroes are the people NOTICING things, paying attention.","{character, depth, hero, heroism, intimacy, the-fault-in-our-stars}"
19,Karen Foxlee,en,68,https://theysaidso.com/quote/karen-foxlee-this-is-because-secrets-are-terrible-things-even-the-simplest-ones,This is because secrets are terrible things. Even the simplest ones,{wisdom-quote}
20,Pico Iyer,en,445,https://theysaidso.com/quote/pico-iyer-we-travel-initially-to-lose-ourselves-and-we-travel-next-to-find-ourse,"We travel, initially, to lose ourselves; and we travel, next to find ourselves. We travel to open our hearts and eyes and learn more about the world than our newspapers will accommodate. We travel to bring what little we can, in our ignorance and knowledge, to those parts of the globe whose riches are differently dispersed. And we travel, in essence, to become young fools again- to slow time down and get taken in, and fall in love once more.","{inspirational, self-awareness, travel, tso-love}"
21,Alan Hollinghurst,en,59,https://theysaidso.com/quote/alan-hollinghurst-the-worse-they-are-the-more-they-see-beauty-in-each-other,The worse they are the more they see beauty in each other.,"{beauty, behavior, people}"
22,Christiane Northrup,en,155,https://theysaidso.com/quote/christiane-northrup-feeling-grateful-to-or-appreciative-of-someone-or-something,Feeling grateful to or appreciative of someone or something in your life actually attracts more of the things that you appreciate and value into your life.,"{grateful, inspire, life, tod}"
23,Marjorie Garber,en,149,https://theysaidso.com/quote/marjorie-garber-if-you-have-a-dog-you-will-most-likely-outlive-it-to-get-a-dog-i,"If you have a dog, you will most likely outlive it; to get a dog is to open yourself to profound joy and, prospectively, to equally profound sadness.","{dog, joy, sadness}"
24,Bernard Bailyn,en,119,https://theysaidso.com/quote/bernard-bailyn-never-had-parliament-or-the-crown-or-both-together-operated-in-ac,"Never had Parliament or the crown, or both together, operated in actuality as theory indicated sovereign powers should.",{power}
25,Fannie Flagg,en,79,https://theysaidso.com/quote/fannie-flagg-remember-if-people-talk-behind-your-back-it-only-means-youre-two-st,"Remember if people talk behind your back, it only means you're two steps ahead!",{people}
26,Julia Child,en,148,https://theysaidso.com/quote/julia-child-i-still-feel-that-french-cooking-is-the-most-important-in-the-world,"I still feel that French cooking is the most important in the world, one of the few that has rules. If you follow the rules, you can do pretty well.","{french, rules}"
27,Paul Quarrington,en,215,https://theysaidso.com/quote/paul-quarrington-the-man-behind-the-check-in-counter-gives-the-impression-that-h,"The man behind the check-in counter gives the impression that he has just axe-murdered the motel's owner (and family, and family pet) and is going through these procedures of hostelry so as not to arouse suspicion.","{funny, hotels, humour, murder, receptionists}"
28,Clive Cussler,en,194,https://theysaidso.com/quote/clive-cussler-she-had-the-kids-during-the-day-and-i-would-have-them-at-night-tha,"She had the kids during the day and I would have them at night. That way they were never alone. I would put the kids to bed, and then I had nothing to do and nobody to talk to, so I would write.",{beds}
29,Ann-Marie MacDonald,en,134,https://theysaidso.com/quote/ann-marie-macdonald-my-first-advantage-i-have-everything-my-second-advantage-thi,My first advantage: I have everything. My second advantage: this is just another island. My third advantage: I am bigger than it all.,"{advantage, determination}"
30,Sharon Olds,en,186,https://theysaidso.com/quote/sharon-olds-maybe-we-can-use-a-metaphor-for-it-out-of-dance-i-think-for-many-yea,"Maybe we can use a metaphor for it, out of dance. I think for many years I was aware of the need, in dance and in life, to breathe deeply and to take in more air than we usually take in.","{dance, life}"
31,Craig Johnson,en,234,https://theysaidso.com/quote/craig-johnson-no-doubt-pier-1-has-a-substantial-brand-equity-my-suspicion-is-tha,"No doubt, Pier 1 has a substantial brand equity,.. My suspicion is that Buffett sees through the current problems and has confidence in whatever new vision and strategy the company is working on that isn't apparent yet to outsiders.",{}
32,Ed McBain,en,37,https://theysaidso.com/quote/ed-mcbain-fiddlers-doesnt-fit-the-profile,Fiddlers.. Doesn't fit the profile.,{}
33,Jeff Lindsay,en,146,https://theysaidso.com/quote/jeff-lindsay-when-faced-with-people-who-have-very-limited-conversational-skills,When faced with people who have very limited conversational skills and no apparent desire to cultivate any it's always easier to simply go along.,"{conversational, desire, easier}"
34,Daniel Ehrenhaft,en,187,https://theysaidso.com/quote/daniel-ehrenhaft-im-sorry-hen-i-still-have-feelings-for-you-its-just-that-my-ban,"I'm sorry, Hen. I still have feelings for you. It's just that my band needs a real bass player now. We're not a joke band anymore. Okay, sweetie?'That was how Petra Dostoyevsky fired me.","{realistic-fiction, teens}"
35,Meg Howrey,en,91,https://theysaidso.com/quote/meg-howrey-if-only-we-could-crawl-inside-our-dreams-and-live-there-why-cant-i-li,If only we could crawl inside our dreams and live there. Why can't I live inside my dream?,{dreams}
36,Stieg Larsson,en,224,https://theysaidso.com/quote/stieg-larsson-an-introverted-person-obviously-affected-by-her-past-lived-alone-h,"An introverted person obviously affected by her past. Lived alone, had no sex life, had difficulty getting close to people. Kept her distance, and when she let loose there was no restraint. She chose a stranger for a lover.",{alone}
37,Tamora Pierce,en,17,https://theysaidso.com/quote/tamora-pierce-funfunfunfunfun,Funfunfunfunfun!,"{funny, humor, joy}"
38,Mary Balogh,en,376,https://theysaidso.com/quote/mary-balogh-she-had-never-believed-in-fate-she-still-did-not-it-would-be-nonsens,"She had never believed in fate. She still did not. It would be nonsense of freedom of will and choice, and it was through such freedom that we worked our way through life and learned what we needed to learn. But sometimes, it seemed to her, there was something, some sign, to nudge one along in a certain direction. What one chose to do with that nudge was up to that person.",{fate}
39,Mark Kurlansky,en,211,https://theysaidso.com/quote/mark-kurlansky-there-is-a-dreamlike-quality-to-the-1936-basque-government-the-fu,"There is a dreamlike quality to the 1936 Basque government, the fulfillment of a historic longing that was to be crushed only nine months later in carnage the scale of which had never before been seen on earth.","{conflict, dreams, history, vision, war}"
40,Darrin Lunde,en,123,https://theysaidso.com/quote/darrin-lunde-bumblebee-bat-how-do-you-see-at-night-i-make-a-squeaky-sound-that-b,"-Bumblebee bat, how do you see at night?-I make a squeaky sound that bounces back from whatever it hits. I see by hearing.","{bats, children, echolocation}"
41,Zilpha Keatley Snyder,en,166,https://theysaidso.com/quote/zilpha-keatley-snyder-know-all-the-questions-but-not-the-answerslook-for-the-dif,"Know all the Questions, but not the AnswersLook for the Different, instead of the SameNever Walk where there's room for RunningDon't do anything that can't be a Game",{ya}
42,Christopher Barzak,en,98,https://theysaidso.com/quote/christopher-barzak-sometimes-youve-got-to-be-able-to-listen-to-yourself-and-be-o,Sometimes you've got to be able to listen to yourself and be okay with no one else understanding.,{inspirational}
43,Arthur Miller,en,198,https://theysaidso.com/quote/arthur-miller-the-closer-a-man-approaches-tragedy-the-more-intense-is-his-concen,"The closer a man approaches tragedy the more intense is his concentration of emotion upon the fixed point of his commitment, which is to say the closer he approaches what in life we call fanaticism.","{emotions, fanaticism, life, man}"
44,Sherwin B. Nuland,en,351,https://theysaidso.com/quote/sherwin-b-nuland-that-enormously-complex-biological-interactions-are-so-flawless,That enormously complex biological interactions are so flawlessly coordinated as to result in such obvious manifestations as human thought or the electrical activity that dries the heartbeat is as exciting to me -- actually more exciting -- than such phenomena were when I was a small boy and thought them divinely (in the supernatural sense) driven.,"{biology, science, spirtuality}"
45,Theresa Rebeck,en,180,https://theysaidso.com/quote/theresa-rebeck-weve-all-been-called-man-haters-there-was-one-point-in-my-career,"We've all been called man-haters. There was one point in my career, also, where I realized a certain breed of critic would project a sinister breed of feminism on everything I did.",{}
46,Seth Godin,en,61,https://theysaidso.com/quote/seth-godin-art-changes-posture-and-posture-changes-innocent-bystanders,Art changes posture and posture changes innocent bystanders.,{art}
47,Philip Pullman,en,195,https://theysaidso.com/quote/philip-pullman-if-you-cant-think-of-what-to-write-tough-luck-write-anyway-if-you,"If you can't think of what to write, tough luck; write anyway. If you can think of lots more when you've finished the three pages, don't write it; it'll be that much easier to get going next day.",{luck}
48,Edward Hirsch,en,93,https://theysaidso.com/quote/edward-hirsch-works-of-art-imitate-and-provoke-other-works-of-art-the-process-is,"Works of art imitate and provoke other works of art, the process is the source of art itself.",{art}
49,James Ellroy,en,77,https://theysaidso.com/quote/james-ellroy-im-getting-a-wider-circle-of-fans-now-more-women-more-middle-class,"I'm getting a wider circle of fans now. More women, more middle class people.","{circles, people, women}"
50,Sarah Mlynowski,en,73,https://theysaidso.com/quote/sarah-mlynowski-just-because-a-relationship-ends-it-doesnt-mean-its-not-worth-ha,"Just because a relationship ends, it doesn't mean it's not worth having.","{breaking-up, relationships, tso-love}"
51,Tim Lilburn,en,149,https://theysaidso.com/quote/tim-lilburn-dry-snow-coming-down-in-the-hills-magpies-hair-triggered-and-thuggis,"Dry snow coming down in the hills. Magpies hair-triggered and thuggish in worn trees. A wall has started to fall in you, it will take years to land.",{time}
52,Jules Feiffer,en,46,https://theysaidso.com/quote/jules-feiffer-maturity-is-only-a-short-break-in-adolescence,Maturity is only a short break in adolescence.,{maturity}
53,Jack Prelutsky,en,70,https://theysaidso.com/quote/jack-prelutsky-im-mostly-influenced-by-life-whats-around-me-and-my-own-childhood,"I'm mostly influenced by life, what's around me, and my own childhood.",{life}
54,George Orwell,en,3044,https://theysaidso.com/quote/george-orwell-here-one-comes-upon-an-all-important-english-trait-the-respect-for,"Here one comes upon an all-important English trait: the respect for constituitionalism and legality, the belief in 'the law' as something above the state and above the individual, something which is cruel and stupid, of course, but at any rate incorruptible. It is not that anyone imagines the law to be just. Everyone knows that there is one law for the rich and another for the poor. But no one accepts the implications of this, everyone takes for granted that the law, such as it is, will be respected, and feels a sense of outrage when it is not. Remarks like 'They can't run me in; I haven't done anything wrong', or 'They can't do that; it's against the law', are part of the atmosphere of England. The professed enemies of society have this feeling as strongly as anyone else. One sees it in prison-books like Wilfred Macartney's Walls Have Mouths or Jim Phelan's Jail Journey, in the solemn idiocies that take places at the trials of conscientious objectors, in letters to the papers from eminent Marxist professors, pointing out that this or that is a 'miscarriage of British justice'. Everyone believes in his heart that the law can be, ought to be, and, on the whole, will be impartially administered. The totalitarian idea that there is no such thing as law, there is only power, has never taken root. Even the intelligentsia have only accepted it in theory. An illusion can become a half-truth, a mask can alter the expression of a face. The familiar arguments to the effect that democracy is 'just the same as' or 'just as bad as' totalitarianism never take account of this fact. All such arguments boil down to saying that half a loaf is the same as no bread. In England such concepts as justice, liberty and objective truth are still believed in. They may be illusions, but they are powerful illusions. The belief in them influences conduct, national life is different because of them. In proof of which, look about you. Where are the rubber truncheons, where is the caster oil? The sword is still in the scabbard, and while it stays corruption cannot go beyond a certain point. The English electoral system, for instance, is an all but open fraud. In a dozen obvious ways it is gerrymandered in the interest of the moneyed class. But until some deep change has occurred in the public mind, it cannot become completely corrupt. You do not arrive at the polling booth to find men with revolvers telling you which way to vote, nor are the votes miscounted, nor is there any direct bribery. Even hypocrisy is powerful safeguard. The hanging judge, that evil old man in scarlet robe and horse-hair wig, whom nothing short of dynamite will ever teach what century he is living in, but who will at any rate interpret the law according to the books and will in no circumstances take a money bribe, is one of the symbolic figures of England. He is a symbol of the strange mixture of reality and illusion, democracy and privilege, humbug and decency, the subtle network of compromises, by which the nation keeps itself in its familiar shape.","{illusions, law, politics, public, system}"
55,Annette Curtis Klause,en,250,https://theysaidso.com/quote/annette-curtis-klause-he-was-raw-and-sharp-and-rich-and-throbbing-with-life-he-w,"He was raw and sharp and rich and throbbing with life. He was sweet blood after a long hunt. How could she have mistaken Aiden's kisses for this? They had been delicious and smooth like the brief comfort of chocolate, but they had never been enough.","{completion, desire, tso-love}"
56,Susan Vreeland,en,168,https://theysaidso.com/quote/susan-vreeland-no-one-but-another-painter-could-know-the-delicacy-required-to-ba,"No one but another painter could know the delicacy required to balance the complexities, to keep reality at bay in order to remain in the innermost center of his work.","{art, focus, obsession}"
57,Harry Turtledove,en,61,https://theysaidso.com/quote/harry-turtledove-fiction-has-to-be-plausible-all-history-has-to-do-is-happen,Fiction has to be plausible. All history has to do is happen.,{history}
58,Rafe Esquith,en,100,https://theysaidso.com/quote/rafe-esquith-thats-the-beauty-of-art-we-strive-for-perfection-but-never-achieve,That's the beauty of art--we strive for perfection but never achieve it. The journey is everything.,{art}
59,Joan Aiken,en,416,https://theysaidso.com/quote/joan-aiken-it-was-dusk-winter-dusk-snow-lay-white-and-shining-over-the-pleated-h,"It was dusk - winter dusk. Snow lay white and shining over the pleated hills, and icicles hung from the forest trees. Snow lay piled on the dark road across Willoughby Wold, but from dawn men had been clearing it with brooms and shovels. There were hundreds of them at work, wrapped in sacking because of the bitter cold, and keeping together in groups for fear of the wolves, grown savage and reckless from hunger.",{opening-lines}
60,Pat Barker,en,290,https://theysaidso.com/quote/pat-barker-the-way-i-see-it-when-you-put-the-uniform-on-in-effect-you-sign-a-con,"The way I see it, when you put the uniform on, in effect you sign a contract. And you don't back out of a contract merely because you've changed your mind. You can still speak up for your principles, you can still argue against the ones you're being made to fight for, but in the end you.","{duty, rebellion, war}"
61,Yotam Ottolenghi,en,391,https://theysaidso.com/quote/yotam-ottolenghi-it-is-more-than-twenty-years-since-we-left-the-city-this-is-a-s,"It is more than twenty years since we left the city. This is a serious chunk of time, longer than the years we spent living there. Yet we still think of Jerusalem as our home. Not home in the sense of the place that you conduct your daily life or constantly return to. In fact, Jerusalem is our home almost against our wills. It is our home because it defines us, whether we like it or not.","{emigration, home, jerusalem, sami-tamimi, yotam-ottolenghi}"
62,Caitlin Kittredge,en,185,https://theysaidso.com/quote/caitlin-kittredge-in-a-platonic-and-boring-fashion-is-it-all-right-if-i-share-yo,"In a platonic and boring fashion, is it all right if I share your fire until me clothes dry out? I have a feeling if I fall asleep damp I'll wake up with some horrid Victorian disease.","{jack, pete}"
63,Jane Hamilton,en,134,https://theysaidso.com/quote/jane-hamilton-she-read-books-quickly-and-compulsively-paperback-after-paperback,"She read books quickly and compulsively, paperback after paperback, as if she might drift away without the anchor of the printed page.",{books}
64,Jaimy Gordon,en,628,https://theysaidso.com/quote/jaimy-gordon-but-little-spinoza-was-only-interested-in-that-satchel-bellied-ten,"But Little Spinoza was only interested in that satchel-bellied ten-dollar billy goat. First he jumped back like insulted when the goat lift his head at him and stare. What you think this is, son? Ain't nothing but a spotted he-goat, good for nothing save to be the horse's friend. He gone urinate in you hay and shove his head in you feed bucket and race you to you eats. You don't mind out, he win too. You want that? Medicine Ed reached down and touched that peculiar armor-plate forehead of the goat between his coin-slot eyes, and shuddered. But Little Spinoza dance around and look happy and want a billy goat all his own.",{horses}
65,Haruki Murakami,en,240,https://theysaidso.com/quote/haruki-murakami-strange-as-it-may-seem-or-perhaps-it-does-not-seem-so-strange-th,"Strange as it may seem or perhaps it does not seem so strange they all had the same thought: it was so much easier to kill humans on the battlefield than animals in cages, even if, on the battlefield, one might end up being killed oneself.","{killing, wind-up-bird-chronicle}"
66,Libba Bray,en,210,https://theysaidso.com/quote/libba-bray-the-world-expected-girls-to-pluck-and-primp-and-put-on-heels-meanwhil,"The world expected girls to pluck and primp and put on heels. Meanwhile, boys dressed in rumpled T-shirts and baggy pants and misplace their combs, and yet you were suppose to fall at their feet? Unacceptable.","{boys, men, true, world}"
67,Chimamanda Ngozi Adichie,en,132,https://theysaidso.com/quote/chimamanda-ngozi-adichie-her-bladder-felt-painfully-solidly-full-as-though-it-wo,"Her bladder felt painfully, solidly full, as though it would burst and release not urine but the garbled prayers she was muttering.",{perfect}
68,Marjane Satrapi,en,97,https://theysaidso.com/quote/marjane-satrapi-whether-this-tale-be-true-or-false-none-can-tell-for-none-were-t,"Whether this tale be true or false, none can tell, for none were there to witness it themselves.",{storytelling}
69,Salvatore Scibona,en,85,https://theysaidso.com/quote/salvatore-scibona-reading-messed-with-my-brain-in-an-unaccountable-way-it-made-m,Reading messed with my brain in an unaccountable way. It made me happy or something.,"{brains, happiness, reading}"
70,Sophie Kinsella,en,145,https://theysaidso.com/quote/sophie-kinsella-when-i-shop-the-world-gets-better-and-the-world-is-better-but-th,"When I shop, the world gets better, and the world is better, but then it's not, and I need to do it again.(Confessions of a Shopaholic-the movie)","{again, better, clothes, money, shop, shopping, spend, world}"
71,Timothy Snyder,en,287,https://theysaidso.com/quote/timothy-snyder-it-is-easy-to-sanctify-policies-or-identities-by-the-deaths-of-vi,"It is easy to sanctify policies or identities by the deaths of victims. It is less appealing, but morally more urgent, to understand the actions of the perpetrators. The moral danger, after all, is never that one might become a victim but that one might be a perpetrator or a bystander.","{history, world-war-ii}"
72,Robert Harris,en,82,https://theysaidso.com/quote/robert-harris-power-brings-a-man-many-luxuries-but-a-clean-pair-of-hands-is-seld,"Power brings a man many luxuries, but a clean pair of hands is seldom among them.","{luxuries, power}"
73,John Boyne,en,161,https://theysaidso.com/quote/john-boyne-despite-the-mayhem-that-followed-bruno-found-that-he-was-still-holdin,".. Despite the mayhem that followed, Bruno found that he was still holding Shmuel's hand in his own and nothing in the world would have persuaded him to let go.","{death, friendship, holocaust, inspirational, life, tear-jerker, tso-love, wwii-fiction}"
74,Robert B. Parker,en,158,https://theysaidso.com/quote/robert-b-parker-i-think-finally-good-writing-gets-out-there-and-people-like-it-a,"I think finally good writing gets out there, and people like it, and bad writing doesn't. Well, no. Bad writing does get out there 'cause some people like it.",{people}
75,Franz Kafka,en,137,https://theysaidso.com/quote/franz-kafka-alle-menschlichen-fehler-sind-ungeduld-ein-vorzeitiges-abbrechen-des,"Alle menschlichen Fehler sind Ungeduld, ein vorzeitiges Abbrechen des Methodischen, ein scheinbares Einpfählen der scheinbaren Sache.","{german, life, philosophy, sin, truth}"
76,Gary Webb,en,129,https://theysaidso.com/quote/gary-webb-you-cant-believe-the-government-on-anything-and-you-especially-cant-be,You can't believe the government - on anything. And you especially can't believe them when they're talking about important stuff.,{government}
77,Diana Gabaldon,en,140,https://theysaidso.com/quote/diana-gabaldon-ye-are-blood-of-my-blood-and-bone-of-my-bonei-give-ye-my-body-tha,"Ye are Blood of my Blood, and Bone of my Bone,I give ye my Body, that we Two might be One.I give ye my Spirit, 'til our Life shall be Done.","{marriage, romance, tso-love}"
78,John Grisham,en,252,https://theysaidso.com/quote/john-grisham-im-not-in-favor-of-the-death-penalty-but-im-in-favor-of-locking-the,I'm not in favor of the death penalty. But I'm in favor of locking these people away in maximum security units where they can never get out. They can never escape. They can never be paroled. Lock the bad ones away. But you gotta rethink everybody else.,"{death, favors, people}"
79,April Lurie,en,17,https://theysaidso.com/quote/april-lurie-shell-be-apples,She'll be apples,{power}
